연번,화재발생일,시도,시군구,발화요인대분류,발화요인소분류,차량장소,장소소분류,지상_지하여부,차량상태,차량발화지점
107,2023-06-19,경기도,시흥시,교통사고,교통사고,고속도로,지상1층,지상,운행중,엔진룸
108,2023-06-28,경기도,여주시,미상,미상,주차장,지상1층,지상,주차,트렁크
109,2023-07-03,경기도,광주시,미상,미상,일반도로,지상1층,지상,운행중,미상
110,2023-07-09,제주특별자치도,제주시,미상,미상,주차장,지상1층,지상,주차,기타차량위치
111,2023-07-09,경기도,구리시,방화,방화,주차장,지하1층,지하,주차,트렁크
112,2023-07-16,대전광역시,유성구,기타,기타,주차장,지상1층,지상,주차,기타차량위치
113,2023-07-20,경상남도,진주시,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
114,2023-07-22,경기도,김포시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
115,2023-07-30,서울특별시,양천구,기계적 요인,기타(기계적요인),주차장,지하1층,지하,운행중,뒷좌석
116,2023-08-05,대전광역시,유성구,제품결함,제조상결함,고속도로,지상1층,지상,운행중,트렁크
117,2023-08-08,부산광역시,남구,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
118,2023-08-18,경상북도,영천시,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
119,2023-08-24,경기도,양주시,미상,미상,일반도로,지상1층,지상,운행중,기타차량위치
120,2023-08-31,울산광역시,북구,전기적 요인,기타(전기적요인),일반도로,지상1층,지상,운행중,기타차량위치
121,2023-09-02,경상북도,안동시,미상,미상,일반도로,지상1층,지상,운행중,적재함
122,2023-09-04,제주특별자치도,제주시,교통사고,교통사고,공지,지상1층,지상,운행중,기타차량위치
123,2023-09-18,경기도,수원시장안구,전기적 요인,미확인단락,주차장,지상1층,지상,주차,기타차량위치
124,2023-09-23,대구광역시,남구,미상,미상,기타 도로,지상1층,지상,주차,기타차량위치
125,2023-10-07,부산광역시,서구,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
126,2023-10-09,전라남도,신안군,전기적 요인,미확인단락,공지,지상1층,지상,충전중,미상
127,2023-10-25,경기도,김포시,전기적 요인,미확인단락,일반도로,지상1층,지상,주차,기타차량위치
128,2023-11-04,충청남도,아산시,전기적 요인,미확인단락,주차장,지상1층,지상,주차,기타차량위치
129,2023-11-04,경기도,시흥시,교통사고,교통사고,일반도로,지상1층,지상,정차,기타차량위치
130,2023-11-08,경상북도,포항시남구,미상,미상,주차장,지상1층,지상,주차,기타차량위치
131,2023-11-12,서울특별시,강서구,미상,미상,주차장,지하1층,지하,충전중,엔진룸
132,2023-11-13,경상북도,안동시,교통사고,교통사고,고속도로,지상1층,지상,운행중,엔진룸
133,2023-11-13,전라북도,군산시,부주의,가연물 근접방치,공지,지상1층,지상,주차,기타차량위치
134,2023-11-14,제주특별자치도,제주시,미상,미상,공지,지상1층,지상,충전중,기타차량위치
135,2023-11-14,서울특별시,영등포구,미상,미상,주차장,지상1층,지상,충전중,기타차량위치
136,2023-11-20,경상북도,경주시,미상,미상,일반도로,지상1층,지상,운행중,미상
137,2023-11-22,부산광역시,연제구,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
138,2023-11-24,경기도,광명시,전기적 요인,미확인단락,주차장,지상1층,지상,주차,엔진룸
139,2023-12-26,경상남도,진주시,전기적 요인,트래킹에 의한 단락,주차장,지상1층,지상,충전중,기타차량위치
